kate	3.4973724956847101	-1.00244285135571	1.0	1
hospital	3.3431415926474002	-0.83184852058548797	1.00016284407486	1
labor	3.5655461469609202	-0.870475055611868	1.0	1
duchess	3.9179745974836599	-1.5387553851323601	1.29568224970617	1
royalbaby	3.9074675465601398	-1.24226369157029	1.7550346393218901	1
checked	3.3448993651797601	-0.78861844588977803	1.0	1
labour	3.51485588924931	-1.0667730974615699	1.0	1
nashgrier	3.55381675555049	-1.39589663337815	3.2756841224711502	1
royal	3.4537474334347902	-0.87644262831744502	1.0	1
admitted	3.8621155666609699	-1.18286950830147	2.0733944907569501	1
cambridge	3.8286515363579099	-1.3681324115660101	1.4699217837180301	1
